id;titel;google_maps_url
food-taverne-akti;Taverne Akti;https://maps.app.goo.gl/Wi2JF9djXTsY6jKd6
food-stama;Stama;https://maps.app.goo.gl/syyiHC4soukb8PKQ8
beach-tsambika;Tsambika / Tsampika;https://maps.app.goo.gl/kQsRogoHY5CmRExg6
beach-stegna;Stegna;https://maps.app.goo.gl/GXgiFisL13gdecrA9
beach-pefkoi-plakia;Pefkoi Plakia Beach;https://maps.app.goo.gl/fubULVGVnzNLuE2g7
beach-elli;Elli Beach;https://maps.app.goo.gl/ZQ1aWgeCqRdbtpvg8
trip-mandraki-sunrise;Mandraki vor Sonnenaufgang;https://maps.app.goo.gl/t7cAhHaYcHG8iU5MA
mobility-rental-terms;Mietwagenbedingungen prüfen;
hotel-elysium;Elysium bei Faliraki;https://maps.app.goo.gl/RRLnzNpUT14iuvtt9
hotel-kresten-palace;Kresten Palace;https://maps.app.goo.gl/eGn85Ung4fqZtphz7
hotel-lydia-maris;Lydia Maris Resort;https://maps.app.goo.gl/z9xNUZYV3T7CHCXs9
hotel-esperides-beach;Esperides Beach Family;https://maps.app.goo.gl/rGXEoQ6FGqgobcXTA
hotel-blue-sea-beach;Blue Sea Beach;https://maps.app.goo.gl/sXKA84MwXKRdb2Re7
food-melekouni;Melekouni probieren;
food-lakani;Lakani auf der Karte suchen;
food-dodecanese-pastry;Dodekanes-Gebäck testen;
trip-seven-springs;Sieben Quellen im Schatten;https://maps.app.goo.gl/YzGkXXKL91zGDx8s8
trip-kallithea;Kallithea: Architektur und Badestopp;https://maps.app.goo.gl/c1bxKBaPs4pXHYzz7
trip-lindos-morning;Lindos gleich morgens;https://maps.app.goo.gl/jrdj5TiaKjjaCMuWA
trip-anthony-quinn-bay;Anthony-Quinn-Bucht;https://maps.app.goo.gl/1gVuUSthb7teJ7qd9
trip-prasonisi;Prasonisi als ganzer Reisetag;https://maps.app.goo.gl/M4LEWJjZ229Gsj7t8
mobility-september-schedule;September-Fahrplan neu prüfen;
mobility-plan-return-first;Rückfahrt zuerst planen;
kolymbia-eucalyptus-evening;Eukalyptusallee am Abend;https://maps.app.goo.gl/3r7eDQPix7EqcfFX9
kolymbia-local-beach-day;Entspannter Strandtag vor Ort;https://maps.app.goo.gl/LdnpeQLEyEDFkEKk6
